Type;Days for shipping (real);Days for shipment (scheduled);Benefit per order;Sales per customer;Delivery Status;Late_delivery_risk;Category Id;Category Name;Customer City;Customer Country;Customer Email;Customer Fname;Customer Id;Customer Lname;Customer Password;Customer Segment;Customer State;Customer Street;Customer Zipcode;Department Id;Department Name;Latitude;Longitude;Market;Order City;Order Country;Order Customer Id;order date (DateOrders);Order Id;Order Item Cardprod Id;Order Item Discount;Order Item Discount Rate;Order Item Id;Order Item Product Price;Order Item Profit Ratio;Order Item Quantity;Sales;Order Item Total;Order Profit Per Order;Order Region;Order State;Order Status;Order Zipcode;Product Card Id;Product Category Id;Product Description;Product Image;Product Name;Product Price;Product Status;shipping date (DateOrders);Shipping Mode
TRANSFER;6;4;5.509.000.015;1.899.499.969;Late delivery;1;29;Shop By Sport;Caguas;Puerto Rico;XXXXXXXXX;Tammy;6398;Smith;XXXXXXXXX;Consumer;PR;7370 Sleepy Way;725;5;Golf;1.826.378.822;-6.637.052.918;LATAM;Buenos Aires;Argentina;6398;2/7/2017 09:47;52640;627;10;0.050000001;131580;3.999.000.168;0.289999992;5;1.999.499.969;1.899.499.969;5.509.000.015;South America;Buenos Aires;PENDING;;627;29;;http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe;Under Armour Girls' Toddler Spine Surge Runni;3.999.000.168;0;2/13/2017 9:47;Standard Class
TRANSFER;6;4;52.5;187.5;Late delivery;1;24;Women's Apparel;Caguas;Puerto Rico;XXXXXXXXX;Tammy;6398;Smith;XXXXXXXXX;Consumer;PR;7370 Sleepy Way;725;5;Golf;1.826.378.822;-6.637.052.918;LATAM;Buenos Aires;Argentina;6398;2/7/2017 09:47;52640;502;62.5;0.25;131577;50;0.280000001;5;250;187.5;52.5;South America;Buenos Aires;PENDING;;502;24;;http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo;Nike Men's Dri-FIT Victory Golf Polo;50;0;2/13/2017 9:47;Standard Class
TRANSFER;2;4;7.408.999.634;2.849.500.122;Advance shipping;0;3;Baseball & Softball;Caguas;Puerto Rico;XXXXXXXXX;Maria;1273;Evans;XXXXXXXXX;Consumer;PR;595 Indian Path;725;2;Fitness;182.362.442;-6.637.062.073;LATAM;Buenos Aires;Argentina;1273;4/30/2015 23:49;8221;44;15;0.050000001;20537;5.999.000.168;0.25999999;5;2.999.500.122;2.849.500.122;7.408.999.634;South America;Buenos Aires;PROCESSING;;44;3;;http://images.acmesports.sports/adidas+Men%27s+F10+Messi+TRX+FG+Soccer+Cleat;adidas Men's F10 Messi TRX FG Soccer Cleat;5.999.000.168;0;5/2/2015 23:49;Standard Class
TRANSFER;3;4;3.322.000.122;2.939.500.122;Advance shipping;0;17;Cleats;Caguas;Puerto Rico;XXXXXXXXX;Mary;11106;Navarro;XXXXXXXXX;Consumer;PR;6324 Lazy Lane;725;4;Apparel;1.826.016.426;-6.637.059.021;LATAM;Cipolletti;Argentina;11106;2/6/2017 06:27;52562;365;6;0.02;131382;5.999.000.168;0.109999999;5;2.999.500.122;2.939.500.122;3.322.000.122;South America;Río Negro;PROCESSING;;365;17;;http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck;Perfect Fitness Perfect Rip Deck;5.999.000.168;0;2/9/2017 06:27;Standard Class
TRANSFER;6;4;-9.050.000.191;6.558.000.183;Late delivery;1;29;Shop By Sport;Edison;EE. UU.;XXXXXXXXX;Maria;9884;Dorsey;XXXXXXXXX;Corporate;NJ;125 Colonial Butterfly Stead;8817;5;Golf;4.052.578.354;-7.439.421.845;LATAM;San Justo;Argentina;9884;3/10/2015 00:15;4660;627;1.439.999.962;0.180000007;11689;3.999.000.168;-0.140000001;2;7.998.000.336;6.558.000.183;-9.050.000.191;South America;Santa Fe;PROCESSING;;627;29;;http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe;Under Armour Girls' Toddler Spine Surge Runni;3.999.000.168;0;3/16/2015 0:15;Standard Class
DEBIT;2;2;-1.546.799.927;9.098.999.786;Shipping on time;0;9;Cardio Equipment;Caguas;Puerto Rico;XXXXXXXXX;Jeremy;8360;Smith;XXXXXXXXX;Consumer;PR;2857 Honey Terrace;725;3;Footwear;1.821.312.904;-6.637.059.021;LATAM;Tartagal;Argentina;8360;2/24/2017 13:47;53816;191;9;0.090000004;134546;9.998.999.786;-1.700.000.048;1;9.998.999.786;9.098.999.786;-1.546.799.927;South America;Salta;COMPLETE;;191;9;;http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe;Nike Men's Free 5.0+ Running Shoe;9.998.999.786;0;2/26/2017 13:47;Second Class
TRANSFER;4;4;1.612.599.945;3.359.700.012;Shipping canceled;0;9;Cardio Equipment;Detroit;EE. UU.;XXXXXXXXX;Anna;9154;Gillespie;XXXXXXXXX;Consumer;MI;8546 Thunder Goose Inlet;48224;3;Footwear;4.241.482.544;-829.394.455;LATAM;Posadas;Argentina;9154;5/4/2015 21:22;8488;191;6.399.000.168;0.159999996;21192;9.998.999.786;0.479999989;4;3.999.599.915;3.359.700.012;1.612.599.945;South America;Misiones;CANCELED;;191;9;;http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe;Nike Men's Free 5.0+ Running Shoe;9.998.999.786;0;5/8/2015 21:22;Standard Class
TRANSFER;4;4;9.958.000.183;1.991.699.982;Shipping canceled;0;17;Cleats;Detroit;EE. UU.;XXXXXXXXX;Anna;9154;Gillespie;XXXXXXXXX;Consumer;MI;8546 Thunder Goose Inlet;48224;4;Apparel;4.241.482.544;-829.394.455;LATAM;Posadas;Argentina;9154;5/4/2015 21:22;8488;365;4.079.000.092;0.170000002;21191;5.999.000.168;0.5;4;2.399.600.067;1.991.699.982;9.958.000.183;South America;Misiones;CANCELED;;365;17;;http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck;Perfect Fitness Perfect Rip Deck;5.999.000.168;0;5/8/2015 21:22;Standard Class
DEBIT;5;2;4.309.999.943;4.311.999.893;Late delivery;1;7;Hockey;Amarillo;EE. UU.;XXXXXXXXX;Ann;9532;Smith;XXXXXXXXX;Corporate;TX;1099 Silent Thicket;79109;2;Fitness;3.518.754.196;-1.018.676.224;LATAM;Buenos Aires;Argentina;9532;3/31/2017 20:55;56234;135;0.879999995;0.02;140656;22;0.100000001;2;44;4.311.999.893;4.309.999.943;South America;Buenos Aires;ON_HOLD;;135;7;;http://images.acmesports.sports/Nike+Dri-FIT+Crew+Sock+6+Pack;Nike Dri-FIT Crew Sock 6 Pack;22;0;4/5/2017 20:55;Second Class
CASH;4;2;2.028.000.069;4.224.000.168;Late delivery;1;7;Hockey;Caguas;Puerto Rico;XXXXXXXXX;Mary;10076;Davis;XXXXXXXXX;Consumer;PR;3836 Shady Island Stead;725;2;Fitness;1.823.457.527;-6.637.056.732;LATAM;Buenos Aires;Argentina;10076;2/20/2017 14:08;53543;135;175.999.999;0.039999999;133816;22;0.479999989;2;44;4.224.000.168;2.028.000.069;South America;Buenos Aires;CLOSED;;135;7;;http://images.acmesports.sports/Nike+Dri-FIT+Crew+Sock+6+Pack;Nike Dri-FIT Crew Sock 6 Pack;22;0;2/24/2017 14:08;Second Class
